latitude_x,longitude_x,dist_to_river_km_x,elevation_x,system:index,bio04,bio12,dist_to_river_km_y,elevation_y,elevation_ee,soil_ph,latitude_y,longitude_y,label
-9.723891,-57.172864,0.2053082661502636,0,00000000000000000000_0,605.0,2193.0,0.2053082661502636,0,214,43,-9.723102584213237,-57.172228308232675,1
-9.179501102473628,-57.42394848474045,1.159513045796141,0,00000000000000000001_0,520.0,2220.0,1.159513045796141,0,201,45,-9.179621837320923,-57.42375658778613,1
-9.227699001822309,-57.70099500106243,0.5527830166598984,0,00000000000000000002_0,527.0,2192.0,0.5527830166598984,0,323,43,-9.226783389737193,-57.699988537652885,1
-9.350000999844548,-59.3226320001141,0.5483890168283005,0,00000000000000000003_0,502.0,2069.0,0.5483890168283005,0,108,44,-9.350301741303639,-59.32369341369892,1
-9.872272016753106,-57.77153199770081,0.3127862075597772,0,00000000000000000004_0,579.0,2096.0,0.3127862075597772,0,230,46,-9.871324606092955,-57.771853760382456,1
-9.822123999831748,-57.75570499816971,1.3048120154217129,0,00000000000000000005_0,552.0,2102.0,1.3048120154217129,0,250,45,-9.821917265466382,-57.756133242910366,1
-9.813259994600218,-57.82130000005366,0.638897981125406,0,00000000000000000006_0,579.0,2087.0,0.638897981125406,0,234,45,-9.812934112625186,-57.82126110100903,1
-9.87107953104232,-57.8872657107356,0.3656950436691355,0,00000000000000000007_0,578.0,2070.0,0.3656950436691355,0,229,46,-9.871324606092955,-57.88638895910769,1
-10.05119899886345,-58.57556399967785,0.3111970430064165,0,00000000000000000008_0,563.0,1977.0,0.3111970430064165,0,182,47,-10.050987662916867,-58.57584593966942,1
-11.92798799936585,-53.55373200006755,0.746203615304533,0,00000000000000000009_0,864.0,2330.0,0.746203615304533,0,294,49,-11.928466606726658,-53.5542635014413,1
-11.93039801863518,-53.55363201558098,0.6435719762017135,0,0000000000000000000a_0,864.0,2330.0,0.6435719762017135,0,294,49,-11.930712394936961,-53.5542635014413,1
-10.16047300452101,-57.93737300389475,1.7741956398392784,0,0000000000000000000b_0,593.0,2048.0,1.7741956398392784,0,259,49,-10.161031285221497,-57.93804208794457,1
-10.26918200122798,-58.54245800232319,0.717680761509878,0,0000000000000000000c_0,565.0,1953.0,0.717680761509878,0,239,45,-10.26882911931584,-58.54215911651494,1
-10.75353900005061,-58.441543999972,2.0044913500489483,0,0000000000000000000d_0,635.0,1806.0,2.0044913500489483,0,269,45,-10.753919372740384,-58.44109864705149,1
