system:index,bio04,bio12,dist_to_river_km,elevation,elevation_ee,soil_ph,.geo
00000000000000000025_0,524.0,2121.0,1.0339449363439368,0,235,43,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-57.94477945257546,-9.406446446561105]}"
00000000000000000026_0,532.0,1985.0,1.2155876525359213,0,254,47,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-58.45906495273388,-10.098149215333137]}"
00000000000000000027_0,535.0,1913.0,1.0831296774899721,0,250,47,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-58.643219585978386,-10.311499095311518]}"
00000000000000000028_0,510.0,2093.0,0.6177109628759292,0,250,44,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-58.33779238937775,-9.332335435621246]}"
00000000000000000029_0,532.0,2129.0,0.6193006005734352,0,234,43,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-57.850456347742906,-9.417675387612604]}"
0000000000000000002a_0,496.0,1994.0,0.4765912391484968,0,128,45,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-59.34165971938131,-9.790476230522202]}"
0000000000000000002b_0,518.0,1992.0,0.5547354056922069,0,133,45,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-59.343905507591614,-9.790476230522202]}"
0000000000000000002c_0,498.0,2015.0,0.6427084351007915,0,151,45,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-59.316956049068025,-9.635516844011576]}"
0000000000000000002d_0,457.0,2043.0,0.7641719626856451,0,176,44,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-59.79980051428227,-9.487294822131858]}"
0000000000000000002e_0,495.0,2082.0,0.9230890278016867,0,110,44,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-59.31920183727833,-9.289665459625567]}"
0000000000000000002f_0,507.0,1951.0,0.8945423228191636,0,136,46,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-59.63361218672016,-10.091411850702244]}"
00000000000000000030_0,605.0,2024.0,0.7834910163371832,0,216,45,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-58.14240881508175,-10.165522861642103]}"
00000000000000000031_0,528.0,2070.0,1.7698577442931405,0,208,44,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-58.28164768412027,-9.437887481505285]}"
00000000000000000032_0,545.0,2113.0,0.42681628765625773,0,262,46,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-57.78532848964424,-9.597338444436502]}"
00000000000000000033_0,467.0,2134.0,0.5272575641711621,0,131,44,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-59.02275779351889,-9.024662450810311]}"
00000000000000000034_0,471.0,2040.0,2.3023252368784246,0,195,46,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-59.79530893786168,-9.50076955139366]}"
00000000000000000035_0,512.0,2056.0,0.7976263339367256,0,258,47,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-57.98520364036084,-9.76128098378831]}"
00000000000000000036_0,611.0,2324.0,0.9296565954650676,0,308,47,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-55.240850447375706,-9.920731946719528]}"
00000000000000000037_0,528.0,2082.0,3.161227788700337,0,274,47,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-58.15588354434355,-9.44237905792589]}"
00000000000000000038_0,440.0,2049.0,0.33141745276313395,0,130,45,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-59.23386188528697,-9.451362210767087]}"
00000000000000000039_0,563.0,2126.0,0.42408907064444284,0,275,46,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-57.65058119702631,-9.657974726114574]}"
0000000000000000003a_0,510.0,2070.0,0.4733093372360909,0,234,46,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-58.17160406181564,-9.487294822131858]}"
0000000000000000003b_0,528.0,1974.0,1.4996022420850612,0,285,47,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-58.60279539819301,-9.983614016607902]}"
0000000000000000003c_0,471.0,2040.0,2.2983365533148077,0,191,47,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-59.79755472607198,-9.50076955139366]}"
0000000000000000003d_0,450.0,1956.0,0.6588406251737533,0,162,43,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-60.04009985278424,-9.913994582088634]}"
0000000000000000003e_0,461.0,1957.0,0.42185885458008404,0,172,44,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-59.988446723947376,-9.931960887771027]}"
0000000000000000003f_0,495.0,2029.0,0.9384152213504929,0,164,44,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-59.75713053828659,-9.56365162128202]}"
00000000000000000040_0,473.0,1997.0,0.41120510309454505,0,136,43,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-60.199550815715455,-9.613058961908592]}"
00000000000000000041_0,519.0,2155.0,0.8670401467493865,0,212,44,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-58.00990731067412,-9.215554448685708]}"
00000000000000000042_0,504.0,2041.0,0.7711575970882256,0,196,46,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-59.0025456996262,-9.485049033921555]}"
00000000000000000043_0,473.0,2133.0,0.679409975443947,0,144,47,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-59.09911459266904,-9.047120332913295]}"
00000000000000000044_0,476.0,2033.0,0.4352334495478317,0,192,46,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-59.045215675621876,-9.529964798127537]}"
